1908	12	12	PERU:  OFF COAST	-14.000	-78.000	33	8.2		
1908	12	12	MYANMAR (BURMA):  KACHIN	26.500	97.000		7.5		
1908	12	28	ITALY:  MESSINA, SICILY, CALABRIA	38.170	15.580	40	7.0	11	78000
1909	1	19	TURKEY:  FOCA,MENEMEN,GUZELHISAR	38.600	26.900		5.8	9	8
1909	1	23	IRAN:  SILAKOR	33.000	50.000	33	7.7		5500
1909	2	9	TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS	40.200	37.800		6.3	9	
1909	2	22	FIJI ISLANDS	-18.000	-179.000	550	7.8		
1909	3	12	JAPAN:  CHOSHI	34.500	141.500		6.7		
1909	3	13	JAPAN:  YOKOHAMA	34.500	141.500	80	7.5		
1909	4	10	ALASKA:  ALEUTIAN ISLANDS	52.000	175.000		7.8		
1909	4	14	TAIWAN:  TAIPEI	25.000	121.500		7.3		9
1909	4	23	PORTUGAL:  RIBATEJO, BENAVENTE	38.900	-8.800		6.6	10	30
1909	5	11	CHINA:  YUNNAN PROVINCE	24.400	103.000		6.5	8	21
1909	6	3	INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG	-2.000	101.000	40	7.6		
1909	6	8	CHILE	-26.500	-70.500		7.6		
1909	6	11	FRANCE:  VERNEGUES,CHARLEVAL,LA ROQUE D'ANTHERON	43.700	5.400		6.2	10	40
1909	7	7	AFGHANISTAN:  HINDU-KUSH	36.500	70.500	230	8.1	7	
1909	7	15	GREECE:  CHAVARI (ELIS)	37.900	21.500	4	5.7	10	
1909	7	30	MEXICO:  ACAPULCO	16.800	-99.800		7.8		
1909	8	14	JAPAN:  OOMI	35.400	136.300	33	6.9		41
1909	10	20	PAKISTAN	30.000	68.000	60	7.2		231
1909	10	29	TURKEY:  KOGLACIK	40.300	29.600		5.8	8	
1909	11	10	JAPAN:  KYUSHU	32.000	131.000	190	7.9		
1909	11	21	TAIWAN	24.400	121.800		7.3		4
1909	12	9	SOLOMON ISLANDS	-10.000	165.000		7.7		
1909	12	9	GUAM	12.500	145.000	100	8.0	8	
1910	1	1	HONDURAS	17.000	-85.000	60	7.5		
1910	1	8	CHINA:  YELLOW SEA	35.000	122.000		6.8		
1910	2	12	JAPAN:  HONSHU:  S OF	33.000	138.500	350	7.4		
1910	2	25	PAPUA NEW GUINEA:  MATUPI HARBOR	-4.250	152.250		6.0		
1910	4	12	TAIWAN	25.500	122.500	200	7.8		60
1910	5	22	JAPAN:  HOKKAIDO	42.000	145.000	60	7.5		
1910	6	1	VANUATU ISLANDS	-20.000	169.000	80	7.5		
1910	6	7	ITALY:  CALITRI	40.900	15.400	33	5.9	10	
1910	6	16	VANUATU ISLANDS	-19.000	169.500	100	7.9		
1910	6	24	ALGERIA:  MASQUERAY,  KABYLIA	36.000	4.000	33	6.4	11	12
1910	6	25	TURKEY:  HACIHAMZA,OSMANCIK,ISKILIP	40.900	34.600		6.1	7	
1910	9	24	MEXICO:  OAXACA	16.800	-95.900		6.9	9	
1910	11	9	VANUATU ISLANDS:  ESPIRITU SANTO	-16.000	166.000	70	7.9		
1910	11	10	VANUATU ISLANDS:  ESPIRITU SANTO	-14.000	166.500	90	7.2		
1910	11	26	SOLOMON ISLANDS	-8.000	167.000	33	8.0		
1910	12	13	ZAMBIA	-8.000	31.000		7.3		2
1910	12	16	INDONESIA:  TALAUD ISLANDS	4.500	126.000		7.5		
1910	12	18	INDONESIA:  SULAWESI-N. MOLUCCAS ISLANDS	4.000	127.000		6.7	8	
1910	12	30	PHILIPPINES:  SULU SEA	9.000	125.500	60	6.2	7	
1911	1	3	KAZAKHSTAN:  ALMA-ATA, TURKESTAN	43.500	77.500	25	7.7	10	450
